id,source,isp,text_clean,compound,positive,neutral,negative,label,date,month,week,hour_of_day,url
172,twitter,Airtel,airtel network coverage improved a lot in my area good job,0.1059,0.0808,0.4257,0.0,positive,2026-04-27,2026-04,2026-W17,10,https://example.com/airtel/4526
346,news,Glo,glo faces backlash over unexpected data depletion complaints surge,-0.3282,0.0,0.1574,0.2478,negative,2026-04-27,2026-04,2026-W17,10,https://example.com/glo/8560
650,news,Smile,smile cuts data prices by 20 percent for all subscribers,0.0982,0.0795,0.1065,0.0,positive,2026-04-27,2026-04,2026-W17,10,https://example.com/smile/6379
228,news,Airtel,airtel cuts data prices by 20 percent for all subscribers,0.4176,0.3825,0.1428,0.0,positive,2026-04-27,2026-04,2026-W17,7,https://example.com/airtel/4686
281,twitter,Glo,9mobile coverage dead zone in my entire neighborhood useless,-0.6587,0.0,0.4204,0.5278,negative,2026-04-27,2026-04,2026-W17,7,https://example.com/glo/2026
24,news,MTN,mtn cuts data prices by 20 percent for all subscribers,0.3269,0.3181,0.117,0.0,positive,2026-04-27,2026-04,2026-W17,4,https://example.com/mtn/9290
504,twitter,Spectranet,mtn data prices unchanged this quarter,-0.0055,0.0,0.3384,0.0046,neutral,2026-04-26,2026-04,2026-W16,20,https://example.com/spectranet/3186
290,twitter,Glo,glo network always slow during peak hours so frustrating,-0.485,0.0,0.4041,0.3869,negative,2026-04-26,2026-04,2026-W16,19,https://example.com/glo/3173
218,twitter,Airtel,glo network always slow during peak hours so frustrating,-0.1027,0.0,0.2436,0.0747,negative,2026-04-26,2026-04,2026-W16,11,https://example.com/airtel/3939
301,twitter,Glo,airtel network coverage improved a lot in my area good job,0.1606,0.1448,0.3331,0.0,positive,2026-04-26,2026-04,2026-W16,8,https://example.com/glo/2369
234,twitter,Airtel,just renewed my mtn data plan value for money as always,0.5488,0.4176,0.2759,0.0,positive,2026-04-26,2026-04,2026-W16,7,https://example.com/airtel/2985
460,twitter,9mobile,smile internet perfect for working from home no complaints,0.1663,0.1392,0.2261,0.0,positive,2026-04-26,2026-04,2026-W16,2,https://example.com/9mobile/8756
448,news,9mobile,9mobile wins best telecom provider award customer satisfaction survey,0.5523,0.5052,0.3581,0.0,positive,2026-04-26,2026-04,2026-W16,0,https://example.com/9mobile/2453
458,twitter,9mobile,glo internet speed is embarrassingly slow cannot work from home,-0.5273,0.0,0.4595,0.4701,negative,2026-04-26,2026-04,2026-W16,0,https://example.com/9mobile/6694
438,twitter,9mobile,just renewed my mtn data plan value for money as always,0.2181,0.1643,0.332,0.0,positive,2026-04-25,2026-04,2026-W16,23,https://example.com/9mobile/6089
682,news,Smile,smile cuts data prices by 20 percent for all subscribers,0.208,0.1881,0.1421,0.0,positive,2026-04-25,2026-04,2026-W16,16,https://example.com/smile/8881
119,twitter,MTN,smile internet perfect for working from home no complaints,0.3256,0.2719,0.1389,0.0,positive,2026-04-25,2026-04,2026-W16,16,https://example.com/mtn/6544
18,twitter,MTN,airtel network coverage improved a lot in my area good job,0.1149,0.0966,0.4129,0.0,positive,2026-04-25,2026-04,2026-W16,13,https://example.com/mtn/2918
694,twitter,Smile,mtn internet completely down for 3 hours terrible service,-0.2697,0.0,0.3515,0.2616,negative,2026-04-25,2026-04,2026-W16,10,https://example.com/smile/5272
551,twitter,Spectranet,mtn customer service actually resolved my issue quickly impressed,0.4827,0.4564,0.3792,0.0,positive,2026-04-25,2026-04,2026-W16,0,https://example.com/spectranet/8213
669,news,Smile,smile network reliability drops amid infrastructure challenges,-0.3433,0.0,0.233,0.3056,negative,2026-04-24,2026-04,2026-W16,20,https://example.com/smile/7369
687,twitter,Smile,glo internet disconnects every few minutes how is this acceptable,-0.4494,0.0,0.1169,0.3802,negative,2026-04-24,2026-04,2026-W16,19,https://example.com/smile/4538
57,twitter,MTN,glo network always slow during peak hours so frustrating,-0.4941,0.0,0.4188,0.4682,negative,2026-04-24,2026-04,2026-W16,17,https://example.com/mtn/2174
596,twitter,Spectranet,mtn customer service actually resolved my issue quickly impressed,0.7783,0.4874,0.4619,0.0,positive,2026-04-24,2026-04,2026-W16,17,https://example.com/spectranet/3569
423,news,9mobile,9mobile customer complaints up 35 percent in latest industry report,-0.1898,0.0,0.3189,0.1567,negative,2026-04-24,2026-04,2026-W16,16,https://example.com/9mobile/2746
601,twitter,Smile,glo network always slow during peak hours so frustrating,-0.3119,0.0,0.4112,0.3024,negative,2026-04-24,2026-04,2026-W16,15,https://example.com/smile/9963
441,twitter,9mobile,glo network always slow during peak hours so frustrating,-0.271,0.0,0.4732,0.2019,negative,2026-04-24,2026-04,2026-W16,11,https://example.com/9mobile/5964
245,news,Glo,glo regulatory filing submitted to ncc for spectrum renewal,0.0339,0.0245,0.3255,0.0,neutral,2026-04-24,2026-04,2026-W16,11,https://example.com/glo/4499
271,news,Glo,glo faces backlash over unexpected data depletion complaints surge,-0.3165,0.0,0.1108,0.2787,negative,2026-04-24,2026-04,2026-W16,8,https://example.com/glo/2688
453,twitter,9mobile,glo network always slow during peak hours so frustrating,-0.4481,0.0,0.318,0.4364,negative,2026-04-24,2026-04,2026-W16,7,https://example.com/9mobile/4029
276,news,Glo,glo wins best telecom provider award customer satisfaction survey,0.1064,0.1062,0.422,0.0,positive,2026-04-24,2026-04,2026-W16,5,https://example.com/glo/5114
143,news,Airtel,airtel slapped with fine by ncc over quality of service violations,-0.4792,0.0,0.3072,0.4273,negative,2026-04-24,2026-04,2026-W16,4,https://example.com/airtel/9377
105,news,MTN,mtn cuts data prices by 20 percent for all subscribers,0.5347,0.3672,0.4493,0.0,positive,2026-04-23,2026-04,2026-W16,19,https://example.com/mtn/5048
43,twitter,MTN,airtel data plan worth every naira excellent network coverage,0.128,0.1042,0.2388,0.0,positive,2026-04-23,2026-04,2026-W16,18,https://example.com/mtn/2662
341,twitter,Glo,worst customer service experience ever with glo never again,-0.7987,0.0,0.402,0.5851,negative,2026-04-23,2026-04,2026-W16,17,https://example.com/glo/4416
499,twitter,Spectranet,spectranet fibre connection never disappoints fast reliable,0.5866,0.4292,0.4282,0.0,positive,2026-04-23,2026-04,2026-W16,16,https://example.com/spectranet/8917
295,news,Glo,glo slapped with fine by ncc over quality of service violations,-0.3866,0.0,0.308,0.2819,negative,2026-04-23,2026-04,2026-W16,14,https://example.com/glo/7639
407,twitter,9mobile,mtn customer service actually resolved my issue quickly impressed,0.2158,0.1856,0.1219,0.0,positive,2026-04-23,2026-04,2026-W16,12,https://example.com/9mobile/3269
198,twitter,Airtel,mtn internet completely down for 3 hours terrible service,-0.1496,0.0,0.1017,0.1129,negative,2026-04-23,2026-04,2026-W16,5,https://example.com/airtel/7746
377,twitter,9mobile,airtel keeps throttling my connection after half my data is used,-0.309,0.0,0.3478,0.2711,negative,2026-04-23,2026-04,2026-W16,4,https://example.com/9mobile/7076
93,twitter,MTN,mtn data prices unchanged this quarter,0.0484,0.0425,0.461,0.0,neutral,2026-04-23,2026-04,2026-W16,2,https://example.com/mtn/4777
189,twitter,Airtel,spectranet vs smile which is better for small business,0.0042,0.0026,0.4177,0.0,neutral,2026-04-23,2026-04,2026-W16,0,https://example.com/airtel/1131
459,twitter,9mobile,comparing mtn vs airtel data plans for monthly subscription,-0.005,0.0,0.2724,0.0044,neutral,2026-04-23,2026-04,2026-W16,0,https://example.com/9mobile/7712
40,twitter,MTN,mtn internet speed has been great this week finally enjoying browsing,0.4638,0.3737,0.4683,0.0,positive,2026-04-22,2026-04,2026-W16,7,https://example.com/mtn/4387
710,twitter,Smile,spectranet fibre connection never disappoints fast reliable,0.5727,0.3722,0.4644,0.0,positive,2026-04-21,2026-04,2026-W16,19,https://example.com/smile/6301
114,twitter,MTN,airtel 5g speeds are incredible streaming without buffering,0.8548,0.775,0.4268,0.0,positive,2026-04-21,2026-04,2026-W16,16,https://example.com/mtn/8338
386,twitter,9mobile,mtn network congestion every evening ruins my streaming experience,-0.7344,0.0,0.2502,0.4912,negative,2026-04-21,2026-04,2026-W16,14,https://example.com/9mobile/7576
599,news,Spectranet,spectranet faces backlash over unexpected data depletion complaints surge,-0.3045,0.0,0.1451,0.2936,negative,2026-04-21,2026-04,2026-W16,10,https://example.com/spectranet/7134
196,news,Airtel,airtel signs partnership deal with international telecom provider,0.0443,0.0385,0.3356,0.0,neutral,2026-04-21,2026-04,2026-W16,9,https://example.com/airtel/8096
639,news,Smile,smile slapped with fine by ncc over quality of service violations,-0.2816,0.0,0.1424,0.1698,negative,2026-04-20,2026-04,2026-W16,10,https://example.com/smile/8727
635,twitter,Smile,just renewed my mtn data plan value for money as always,0.1573,0.1087,0.1234,0.0,positive,2026-04-20,2026-04,2026-W16,5,https://example.com/smile/6480
633,twitter,Smile,airtel keeps throttling my connection after half my data is used,-0.06,0.0,0.1327,0.0542,negative,2026-04-19,2026-04,2026-W15,22,https://example.com/smile/7985
536,twitter,Spectranet,just renewed my mtn data plan value for money as always,0.1981,0.1649,0.1389,0.0,positive,2026-04-19,2026-04,2026-W15,18,https://example.com/spectranet/3406
699,twitter,Smile,glo network always slow during peak hours so frustrating,-0.1088,0.0,0.1632,0.0987,negative,2026-04-19,2026-04,2026-W15,13,https://example.com/smile/8008
534,twitter,Spectranet,airtel 5g speeds are incredible streaming without buffering,0.2597,0.1587,0.3649,0.0,positive,2026-04-19,2026-04,2026-W15,9,https://example.com/spectranet/8900
50,news,MTN,mtn slapped with fine by ncc over quality of service violations,-0.4737,0.0,0.3845,0.3719,negative,2026-04-19,2026-04,2026-W15,8,https://example.com/mtn/8051
254,news,Glo,glo wins best telecom provider award customer satisfaction survey,0.1468,0.1312,0.18,0.0,positive,2026-04-19,2026-04,2026-W15,7,https://example.com/glo/3091
91,twitter,MTN,mtn network congestion every evening ruins my streaming experience,-0.1444,0.0,0.396,0.1322,negative,2026-04-19,2026-04,2026-W15,3,https://example.com/mtn/7443
497,news,Spectranet,spectranet outage affects thousands of customers in major cities,-0.1599,0.0,0.2135,0.1074,negative,2026-04-19,2026-04,2026-W15,3,https://example.com/spectranet/9876
360,twitter,Glo,mtn internet completely down for 3 hours terrible service,-0.1397,0.0,0.2693,0.0967,negative,2026-04-19,2026-04,2026-W15,1,https://example.com/glo/4947
578,twitter,Spectranet,mtn internet speed has been great this week finally enjoying browsing,0.2564,0.1751,0.4329,0.0,positive,2026-04-19,2026-04,2026-W15,0,https://example.com/spectranet/7282
664,twitter,Smile,spectranet fibre connection never disappoints fast reliable,0.5829,0.4874,0.3459,0.0,positive,2026-04-18,2026-04,2026-W15,22,https://example.com/smile/8615
217,twitter,Airtel,airtel data finished before it should have suspected billing fraud,-0.0539,0.0,0.2724,0.0535,negative,2026-04-18,2026-04,2026-W15,19,https://example.com/airtel/5067
663,twitter,Smile,mtn customer service actually resolved my issue quickly impressed,0.6332,0.5758,0.1632,0.0,positive,2026-04-18,2026-04,2026-W15,19,https://example.com/smile/9848
113,twitter,MTN,just renewed my mtn data plan value for money as always,0.3021,0.2829,0.3475,0.0,positive,2026-04-18,2026-04,2026-W15,14,https://example.com/mtn/1296
214,twitter,Airtel,glo network always slow during peak hours so frustrating,-0.3888,0.0,0.3703,0.2853,negative,2026-04-18,2026-04,2026-W15,13,https://example.com/airtel/8025
621,twitter,Smile,airtel network coverage improved a lot in my area good job,0.1125,0.0703,0.4124,0.0,positive,2026-04-18,2026-04,2026-W15,7,https://example.com/smile/3567
382,news,9mobile,9mobile outage affects thousands of customers in major cities,-0.4794,0.0,0.2551,0.3042,negative,2026-04-18,2026-04,2026-W15,3,https://example.com/9mobile/4701
647,twitter,Smile,worst customer service experience ever with glo never again,-0.4204,0.0,0.459,0.3176,negative,2026-04-18,2026-04,2026-W15,2,https://example.com/smile/4791
615,twitter,Smile,airtel data plan worth every naira excellent network coverage,0.3113,0.2814,0.2176,0.0,positive,2026-04-17,2026-04,2026-W15,21,https://example.com/smile/6406
46,twitter,MTN,airtel keeps throttling my connection after half my data is used,-0.3761,0.0,0.1122,0.2661,negative,2026-04-17,2026-04,2026-W15,17,https://example.com/mtn/4598
405,news,9mobile,9mobile wins best telecom provider award customer satisfaction survey,0.1029,0.0749,0.409,0.0,positive,2026-04-17,2026-04,2026-W15,10,https://example.com/9mobile/2952
378,twitter,9mobile,airtel keeps throttling my connection after half my data is used,-0.283,0.0,0.3103,0.2269,negative,2026-04-17,2026-04,2026-W15,9,https://example.com/9mobile/3072
671,twitter,Smile,9mobile coverage dead zone in my entire neighborhood useless,-0.3784,0.0,0.349,0.2818,negative,2026-04-17,2026-04,2026-W15,3,https://example.com/smile/1241
141,twitter,Airtel,airtel data plan worth every naira excellent network coverage,0.1622,0.1027,0.273,0.0,positive,2026-04-17,2026-04,2026-W15,0,https://example.com/airtel/8700
456,twitter,9mobile,9mobile coverage dead zone in my entire neighborhood useless,-0.712,0.0,0.2308,0.5691,negative,2026-04-16,2026-04,2026-W15,23,https://example.com/9mobile/8180
715,twitter,Smile,airtel 5g speeds are incredible streaming without buffering,0.5613,0.4073,0.3629,0.0,positive,2026-04-16,2026-04,2026-W15,21,https://example.com/smile/5221
718,news,Smile,smile outage affects thousands of customers in major cities,-0.1338,0.0,0.3862,0.0991,negative,2026-04-16,2026-04,2026-W15,17,https://example.com/smile/3700
465,twitter,9mobile,mtn network congestion every evening ruins my streaming experience,-0.4707,0.0,0.1875,0.4214,negative,2026-04-16,2026-04,2026-W15,15,https://example.com/9mobile/3427
338,twitter,Glo,mtn network congestion every evening ruins my streaming experience,-1.0,0.0,0.1844,0.703,negative,2026-04-16,2026-04,2026-W15,13,https://example.com/glo/7867
291,news,Glo,glo faces backlash over unexpected data depletion complaints surge,-0.6271,0.0,0.2507,0.4094,negative,2026-04-16,2026-04,2026-W15,7,https://example.com/glo/8720
317,twitter,Glo,9mobile coverage dead zone in my entire neighborhood useless,-0.6267,0.0,0.2322,0.5949,negative,2026-04-16,2026-04,2026-W15,6,https://example.com/glo/2055
548,twitter,Spectranet,mtn network maintenance scheduled for sunday morning,-0.0148,0.0,0.1671,0.013,neutral,2026-04-16,2026-04,2026-W15,1,https://example.com/spectranet/6393
205,news,Airtel,airtel expands 4g lte coverage across 12 new states improves connectivity,0.2917,0.2075,0.229,0.0,positive,2026-04-15,2026-04,2026-W15,16,https://example.com/airtel/1988
296,twitter,Glo,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.5747,0.0,0.3445,0.5513,negative,2026-04-15,2026-04,2026-W15,7,https://example.com/glo/9297
201,twitter,Airtel,smile internet perfect for working from home no complaints,0.6484,0.6307,0.1805,0.0,positive,2026-04-15,2026-04,2026-W15,6,https://example.com/airtel/2333
461,twitter,9mobile,worst customer service experience ever with glo never again,-0.2721,0.0,0.4964,0.1822,negative,2026-04-15,2026-04,2026-W15,1,https://example.com/9mobile/5880
321,twitter,Glo,smile internet perfect for working from home no complaints,0.4627,0.2808,0.3935,0.0,positive,2026-04-15,2026-04,2026-W15,1,https://example.com/glo/8737
602,news,Smile,smile network reliability drops amid infrastructure challenges,-0.1973,0.0,0.453,0.1274,negative,2026-04-14,2026-04,2026-W15,10,https://example.com/smile/3373
649,twitter,Smile,9mobile coverage dead zone in my entire neighborhood useless,-0.0799,0.0,0.2895,0.0677,negative,2026-04-14,2026-04,2026-W15,10,https://example.com/smile/3169
554,twitter,Spectranet,airtel data plan worth every naira excellent network coverage,0.1287,0.1174,0.4294,0.0,positive,2026-04-14,2026-04,2026-W15,7,https://example.com/spectranet/6157
9,twitter,MTN,smile internet perfect for working from home no complaints,0.2717,0.2403,0.4564,0.0,positive,2026-04-14,2026-04,2026-W15,5,https://example.com/mtn/2310
269,twitter,Glo,airtel network coverage improved a lot in my area good job,0.3454,0.273,0.2945,0.0,positive,2026-04-14,2026-04,2026-W15,3,https://example.com/glo/1365
666,news,Smile,smile faces backlash over unexpected data depletion complaints surge,-0.2316,0.0,0.1145,0.1879,negative,2026-04-14,2026-04,2026-W15,1,https://example.com/smile/3801
509,news,Spectranet,spectranet launches fibre broadband service fastest speeds in region,0.3836,0.3005,0.2705,0.0,positive,2026-04-14,2026-04,2026-W15,0,https://example.com/spectranet/4852
594,twitter,Spectranet,comparing mtn vs airtel data plans for monthly subscription,0.0415,0.0349,0.2619,0.0,neutral,2026-04-13,2026-04,2026-W15,23,https://example.com/spectranet/3958
337,twitter,Glo,mtn internet completely down for 3 hours terrible service,-0.1349,0.0,0.1699,0.1046,negative,2026-04-13,2026-04,2026-W15,22,https://example.com/glo/2246
17,news,MTN,mtn outage affects thousands of customers in major cities,-0.4488,0.0,0.3106,0.3197,negative,2026-04-13,2026-04,2026-W15,19,https://example.com/mtn/4450
478,twitter,9mobile,smile internet perfect for working from home no complaints,0.2272,0.2063,0.3057,0.0,positive,2026-04-13,2026-04,2026-W15,13,https://example.com/9mobile/6815
662,news,Smile,smile cuts data prices by 20 percent for all subscribers,0.305,0.2773,0.1111,0.0,positive,2026-04-13,2026-04,2026-W15,13,https://example.com/smile/4405
617,news,Smile,smile launches fibre broadband service fastest speeds in region,0.4967,0.3571,0.3564,0.0,positive,2026-04-13,2026-04,2026-W15,12,https://example.com/smile/4461
89,twitter,MTN,mtn data prices unchanged this quarter,-0.0022,0.0,0.2493,0.002,neutral,2026-04-13,2026-04,2026-W15,12,https://example.com/mtn/2009
144,news,Airtel,airtel expands 4g lte coverage across 12 new states improves connectivity,0.0642,0.0636,0.186,0.0,positive,2026-04-13,2026-04,2026-W15,8,https://example.com/airtel/4837
462,twitter,9mobile,airtel data plan worth every naira excellent network coverage,0.3034,0.2176,0.1627,0.0,positive,2026-04-13,2026-04,2026-W15,8,https://example.com/9mobile/3777
704,news,Smile,smile expands 4g lte coverage across 12 new states improves connectivity,0.0775,0.0716,0.1175,0.0,positive,2026-04-13,2026-04,2026-W15,7,https://example.com/smile/7824
560,twitter,Spectranet,spectranet fibre connection never disappoints fast reliable,0.6096,0.4818,0.1577,0.0,positive,2026-04-12,2026-04,2026-W14,23,https://example.com/spectranet/8667
13,news,MTN,mtn wins best telecom provider award customer satisfaction survey,0.2439,0.2089,0.3725,0.0,positive,2026-04-12,2026-04,2026-W14,22,https://example.com/mtn/9738
357,news,Glo,glo launches fibre broadband service fastest speeds in region,0.1387,0.1345,0.1697,0.0,positive,2026-04-12,2026-04,2026-W14,20,https://example.com/glo/5587
193,twitter,Airtel,mtn customer service actually resolved my issue quickly impressed,0.4196,0.3852,0.1328,0.0,positive,2026-04-12,2026-04,2026-W14,14,https://example.com/airtel/6233
437,twitter,9mobile,airtel 5g speeds are incredible streaming without buffering,0.38,0.3774,0.3745,0.0,positive,2026-04-12,2026-04,2026-W14,13,https://example.com/9mobile/2267
648,news,Smile,smile cuts data prices by 20 percent for all subscribers,0.1005,0.0829,0.1236,0.0,positive,2026-04-12,2026-04,2026-W14,12,https://example.com/smile/6003
511,news,Spectranet,spectranet cuts data prices by 20 percent for all subscribers,0.2499,0.1537,0.1942,0.0,positive,2026-04-12,2026-04,2026-W14,9,https://example.com/spectranet/1664
631,twitter,Smile,mtn internet speed has been great this week finally enjoying browsing,0.6821,0.6022,0.2889,0.0,positive,2026-04-12,2026-04,2026-W14,7,https://example.com/smile/5679
628,news,Smile,smile faces backlash over unexpected data depletion complaints surge,-0.1348,0.0,0.3563,0.124,negative,2026-04-12,2026-04,2026-W14,2,https://example.com/smile/4435
242,news,Glo,glo expands 4g lte coverage across 12 new states improves connectivity,0.4822,0.4487,0.305,0.0,positive,2026-04-11,2026-04,2026-W14,23,https://example.com/glo/9217
94,news,MTN,mtn expands 4g lte coverage across 12 new states improves connectivity,0.2415,0.1804,0.3516,0.0,positive,2026-04-11,2026-04,2026-W14,22,https://example.com/mtn/4634
508,news,Spectranet,spectranet launches fibre broadband service fastest speeds in region,0.1851,0.1177,0.2836,0.0,positive,2026-04-11,2026-04,2026-W14,21,https://example.com/spectranet/3174
168,twitter,Airtel,9mobile coverage dead zone in my entire neighborhood useless,-0.3744,0.0,0.1497,0.2744,negative,2026-04-11,2026-04,2026-W14,18,https://example.com/airtel/3318
45,twitter,MTN,airtel network coverage improved a lot in my area good job,0.3121,0.2145,0.4145,0.0,positive,2026-04-11,2026-04,2026-W14,11,https://example.com/mtn/1421
1,twitter,MTN,worst customer service experience ever with glo never again,-0.4334,0.0,0.1951,0.3477,negative,2026-04-11,2026-04,2026-W14,1,https://example.com/mtn/9185
466,twitter,9mobile,smile internet perfect for working from home no complaints,0.3171,0.3131,0.2829,0.0,positive,2026-04-11,2026-04,2026-W14,0,https://example.com/9mobile/3464
20,news,MTN,mtn customer satisfaction scores hit five year high,0.4788,0.4283,0.1816,0.0,positive,2026-04-10,2026-04,2026-W14,22,https://example.com/mtn/9208
645,twitter,Smile,airtel network coverage improved a lot in my area good job,0.3154,0.2736,0.1346,0.0,positive,2026-04-10,2026-04,2026-W14,22,https://example.com/smile/3517
2,news,MTN,mtn outage affects thousands of customers in major cities,-0.1182,0.0,0.2504,0.0888,negative,2026-04-10,2026-04,2026-W14,15,https://example.com/mtn/6752
265,twitter,Glo,worst customer service experience ever with glo never again,-0.6307,0.0,0.4998,0.6192,negative,2026-04-10,2026-04,2026-W14,15,https://example.com/glo/4751
625,news,Smile,smile announces network upgrade scheduled maintenance period,-0.0296,0.0,0.3194,0.0278,neutral,2026-04-10,2026-04,2026-W14,12,https://example.com/smile/1275
244,twitter,Glo,airtel data finished before it should have suspected billing fraud,-0.1076,0.0,0.4641,0.0714,negative,2026-04-10,2026-04,2026-W14,11,https://example.com/glo/1265
259,twitter,Glo,mtn data prices unchanged this quarter,-0.0134,0.0,0.3663,0.0107,neutral,2026-04-10,2026-04,2026-W14,4,https://example.com/glo/4643
287,news,Glo,glo outage affects thousands of customers in major cities,-0.4128,0.0,0.1209,0.3191,negative,2026-04-10,2026-04,2026-W14,1,https://example.com/glo/5330
505,news,Spectranet,spectranet customer satisfaction scores hit five year high,0.317,0.268,0.1208,0.0,positive,2026-04-09,2026-04,2026-W14,22,https://example.com/spectranet/4728
140,twitter,Airtel,airtel 5g speeds are incredible streaming without buffering,0.1569,0.0952,0.2136,0.0,positive,2026-04-09,2026-04,2026-W14,18,https://example.com/airtel/4107
