isp,source,text_clean,compound,label,published_at,month,topics
9mobile,twitter,worst customer service experience ever with glo never again,-0.2721,negative,2026-04-15 01:55:38.805304,2026-04,Customer service
9mobile,twitter,worst customer service experience ever with glo never again,-0.4107,negative,2026-03-27 10:03:38.805368,2026-03,Customer service
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.222,negative,2026-03-13 14:18:38.805392,2026-03,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.222,negative,2026-03-13 14:18:38.805392,2026-03,Billing issues
9mobile,twitter,mtn network congestion every evening ruins my streaming experience,-0.4707,negative,2026-04-16 15:45:38.805416,2026-04,Other
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.3276,negative,2026-02-22 07:08:38.805467,2026-02,Slow speed
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.1399,negative,2026-02-14 05:49:38.805491,2026-02,Data depletion
9mobile,twitter,airtel data finished before it should have suspected billing fraud,-0.1399,negative,2026-02-14 05:49:38.805491,2026-02,Billing issues
9mobile,twitter,glo network always slow during peak hours so frustrating,-0.1899,negative,2026-02-01 21:44:38.805542,2026-02,Slow speed
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.0944,negative,2026-03-23 11:21:38.805594,2026-03,Other
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.3296,negative,2026-02-19 19:55:38.805621,2026-02,Other
9mobile,twitter,glo internet speed is embarrassingly slow cannot work from home,-0.0502,negative,2026-02-23 15:26:38.805645,2026-02,Slow speed
9mobile,twitter,9mobile customer service kept me on hold for 45 minutes unacceptable,-0.9861,negative,2026-03-26 13:11:38.805719,2026-03,Customer service
9mobile,news,9mobile customer complaints up 35 percent in latest industry report,-0.3027,negative,2026-03-15 15:35:38.805769,2026-03,Other
9mobile,news,9mobile blames network blackouts fibre cuts frustrated customers move techcabal 9mobile blames network blackouts fibre cuts frustrated customers move techcabal,-0.9393,negative,,NaT,Other
9mobile,news,mobile battles lost ground guardian nigeria news mobile battles lost ground guardian nigeria news,-0.8316,negative,,NaT,Other
9mobile,news,9mobile mtn worst hit fibre cuts power failures cause record network outages may techcabal 9mobile mtn worst hit fibre cuts power failures cause record network outages may techcabal,-0.9559,negative,,NaT,Network outage
9mobile,news,9mobile apologises service downtime cites fire vandalism punch newspapers 9mobile apologises service downtime cites fire vandalism punch newspapers,-0.296,negative,,NaT,Network outage
9mobile,news,9mobile apologises service downtime cites fire vandalism punch newspapers 9mobile apologises service downtime cites fire vandalism punch newspapers,-0.296,negative,,NaT,Customer service
9mobile,news,ncc urged intervene 9mobile service disruptions persist punch newspapers ncc urged intervene 9mobile service disruptions persist punch newspapers,-0.5859,negative,,NaT,Customer service
9mobile,news,9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers 9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers,-0.5859,negative,,NaT,Slow speed
9mobile,news,9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers 9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers,-0.5859,negative,,NaT,Data depletion
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Network outage
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Slow speed
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Data depletion
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Customer service
9mobile,news,9mobile mifi subscribers lament depletion data guardian nigeria news 9mobile mifi subscribers lament depletion data guardian nigeria news,-0.7184,negative,,NaT,Data depletion
9mobile,news,9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria 9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria,-0.7351,negative,,NaT,Network outage
9mobile,news,9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria 9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria,-0.7351,negative,,NaT,Customer service
9mobile,news,frustration grows 9mobile customers face weeks long service disruptions osundefender frustration grows 9mobile customers face weeks long service disruptions osundefender,-0.875,negative,,NaT,Customer service
9mobile,news,mobile battles lost ground guardian nigeria news mobile battles lost ground guardian nigeria news,-0.8316,negative,,NaT,Other
9mobile,news,9mobile blames network blackouts fibre cuts frustrated customers move techcabal 9mobile blames network blackouts fibre cuts frustrated customers move techcabal,-0.9393,negative,,NaT,Other
9mobile,news,9mobile mtn worst hit fibre cuts power failures cause record network outages may techcabal 9mobile mtn worst hit fibre cuts power failures cause record network outages may techcabal,-0.9559,negative,,NaT,Network outage
9mobile,news,9mobile apologises service downtime cites fire vandalism punch newspapers 9mobile apologises service downtime cites fire vandalism punch newspapers,-0.296,negative,,NaT,Network outage
9mobile,news,9mobile apologises service downtime cites fire vandalism punch newspapers 9mobile apologises service downtime cites fire vandalism punch newspapers,-0.296,negative,,NaT,Customer service
9mobile,news,ncc urged intervene 9mobile service disruptions persist punch newspapers ncc urged intervene 9mobile service disruptions persist punch newspapers,-0.5859,negative,,NaT,Customer service
9mobile,news,9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers 9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers,-0.5859,negative,,NaT,Slow speed
9mobile,news,9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers 9mobile accelerates network restoration following fire incident lagos data centre leadership newspapers,-0.5859,negative,,NaT,Data depletion
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Network outage
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Slow speed
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Data depletion
9mobile,news,service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics service outage 9mobile blames fire incident lagos data center fibre cuts nairametrics,-0.9118,negative,,NaT,Customer service
9mobile,news,9mobile mifi subscribers lament depletion data guardian nigeria news 9mobile mifi subscribers lament depletion data guardian nigeria news,-0.7184,negative,,NaT,Data depletion
9mobile,news,9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria 9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria,-0.7351,negative,,NaT,Network outage
9mobile,news,9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria 9mobile poor network nigerians blast service provider prolonged shutdown daily post nigeria,-0.7351,negative,,NaT,Customer service
9mobile,news,frustration grows 9mobile customers face weeks long service disruptions osundefender frustration grows 9mobile customers face weeks long service disruptions osundefender,-0.875,negative,,NaT,Customer service
